[0.09712920192933279, 0.7899285119434493, 0.4203020654012735, 0.2929660976654679]	0.9813	0.9873	0.9891	0.9882	0.9898	0.9891	0.9892	0.9909	0.9906	0.9920	
[0.04424641669192537, 0.7434414711796473, 0.4077687834200738, 0.2422204349331252]	0.9806	0.9849	0.9863	0.9883	0.9880	0.9901	0.9897	0.9921	0.9908	0.9910	
[0.008947028737313524, 0.6, 0.5924203088553587, 0.2]	0.9403	0.9602	0.9718	0.9757	0.9775	0.9804	0.9821	0.9824	0.9832	0.9842	
[0.1, 0.7072375979249642, 0.5229382059085169, 0.39325759479168065]	0.9814	0.9857	0.9862	0.9887	0.9902	0.9912	0.9888	0.9911	0.9904	0.9916	
[0.03914279818334824, 0.9, 0.2, 0.625880496429906]	0.9820	0.9852	0.9849	0.9886	0.9890	0.9888	0.9895	0.9906	0.9895	0.9905	
[0.1, 0.6, 0.4557865916427042, 0.6004848681382403]	0.9779	0.9819	0.9850	0.9869	0.9875	0.9897	0.9884	0.9904	0.9900	0.9896	
[0.09797444309513266, 0.6474599685234104, 0.5583045934213583, 0.677063922961945]	0.9763	0.9826	0.9859	0.9863	0.9864	0.9884	0.9876	0.9877	0.9887	0.9884	
[0.01643023332999529, 0.7900731312085355, 0.6829255474237063, 0.5401701508501641]	0.9621	0.9759	0.9793	0.9836	0.9837	0.9852	0.9854	0.9875	0.9877	0.9879	
[0.07922103637409691, 0.9, 0.654222063375358, 0.47360307200118845]	0.9789	0.9869	0.9847	0.9867	0.9871	0.9867	0.9899	0.9885	0.9890	0.9887	
[0.0515822929594819, 0.7530284778579265, 0.6890008108562362, 0.6582605981846605]	0.9730	0.9794	0.9823	0.9849	0.9852	0.9876	0.9868	0.9875	0.9878	0.9886	
[0.09191810006785782, 0.9, 0.2, 0.6784631555205066]	0.9819	0.9837	0.9863	0.9861	0.9883	0.9876	0.9865	0.9862	0.9876	0.9895	
[0.05365581486516347, 0.6391525935745765, 0.3979469420806447, 0.2]	0.9796	0.9829	0.9871	0.9893	0.9904	0.9905	0.9916	0.9904	0.9914	0.9909	
[0.09667760887471466, 0.6, 0.30420684604220577, 0.44509637608811886]	0.9811	0.9852	0.9875	0.9892	0.9895	0.9902	0.9910	0.9905	0.9904	0.9908	
[0.1, 0.8878041229816884, 0.619243776946015, 0.5387054013099689]	0.9753	0.9793	0.9831	0.9845	0.9867	0.9878	0.9849	0.9860	0.9869	0.9898	
[0.07006005970559018, 0.7067514197146232, 0.28744499366841136, 0.3429131948555739]	0.9805	0.9860	0.9896	0.9878	0.9904	0.9914	0.9921	0.9905	0.9914	0.9914	
[0.1, 0.6, 0.5148272059121092, 0.2]	0.9825	0.9880	0.9900	0.9905	0.9916	0.9908	0.9920	0.9914	0.9910	0.9925	
[0.012742299093796197, 0.6, 0.5674573924150783, 0.7]	0.9431	0.9602	0.9676	0.9721	0.9761	0.9781	0.9803	0.9820	0.9823	0.9837	
[0.02027746557149316, 0.6539344266071997, 0.5653681380443597, 0.36355606301669546]	0.9591	0.9753	0.9803	0.9843	0.9857	0.9868	0.9872	0.9878	0.9883	0.9884	
[0.001, 0.8692927482905706, 0.6999183599655302, 0.25736489647962324]	0.8894	0.9185	0.9332	0.9444	0.9526	0.9555	0.9596	0.9624	0.9658	0.9680	
[0.02084800308241686, 0.8385119242507614, 0.5379878595539177, 0.559809191881744]	0.9728	0.9810	0.9860	0.9871	0.9876	0.9885	0.9895	0.9888	0.9898	0.9904	
[0.1, 0.9, 0.2, 0.2]	0.9834	0.9865	0.9868	0.9863	0.9894	0.9887	0.9894	0.9898	0.9904	0.9875	
[0.001, 0.6316607776581505, 0.2, 0.44025198754236217]	0.8625	0.8994	0.9135	0.9215	0.9279	0.9322	0.9367	0.9395	0.9430	0.9455	
[0.001, 0.8812205329327145, 0.4366849916111482, 0.23719525119885668]	0.9116	0.9330	0.9446	0.9517	0.9566	0.9607	0.9648	0.9666	0.9701	0.9721	
[0.001, 0.6, 0.6386663234654938, 0.37272537572938347]	0.8391	0.8810	0.8999	0.9091	0.9176	0.9218	0.9278	0.9300	0.9335	0.9366	
[0.1, 0.6105462909533266, 0.2, 0.2]	0.9794	0.9834	0.9870	0.9878	0.9895	0.9894	0.9897	0.9907	0.9900	0.9898	
[0.00903542783151228, 0.8303622548101879, 0.6061545415570115, 0.2]	0.9642	0.9743	0.9806	0.9830	0.9841	0.9856	0.9872	0.9875	0.9882	0.9884	
[0.0231851781832481, 0.7980424830398029, 0.6838027726763761, 0.2]	0.9750	0.9823	0.9855	0.9865	0.9876	0.9881	0.9885	0.9902	0.9911	0.9916	
[0.025307489395396145, 0.6161108060424942, 0.5204372836929627, 0.6021532244424239]	0.9630	0.9742	0.9793	0.9816	0.9837	0.9852	0.9854	0.9853	0.9863	0.9870	
[0.011253957186277194, 0.6, 0.7, 0.45934973932662293]	0.9406	0.9617	0.9689	0.9745	0.9763	0.9804	0.9819	0.9829	0.9837	0.9846	
[0.1, 0.6, 0.2339228411225838, 0.6801197921096912]	0.9779	0.9842	0.9867	0.9880	0.9878	0.9880	0.9887	0.9890	0.9902	0.9894	
[0.001, 0.6, 0.6312486511872533, 0.6885413039831262]	0.7778	0.8424	0.8785	0.8975	0.9084	0.9185	0.9263	0.9320	0.9354	0.9397	
[0.04722278797265153, 0.7420764642690412, 0.4273161510749943, 0.24023354440900452]	0.9810	0.9859	0.9888	0.9899	0.9899	0.9909	0.9904	0.9901	0.9905	0.9906	
[0.001, 0.6, 0.6298818712473833, 0.46960250261721215]	0.7810	0.8557	0.8857	0.8986	0.9098	0.9164	0.9227	0.9292	0.9329	0.9374	
[0.0888100266448089, 0.6202220239179277, 0.636293203434609, 0.3923814291960572]	0.9765	0.9836	0.9844	0.9870	0.9895	0.9886	0.9897	0.9906	0.9905	0.9897	
