[0.09712920192933279, 0.7899285119434493, 0.4203020654012735, 0.2929660976654679]	0.0532 	0.0409 	0.0339 	0.0333 	0.0313 	0.0314 	0.0304 	0.0287 	0.0284 	0.0252 	
[0.04424641669192537, 0.7434414711796473, 0.4077687834200738, 0.2422204349331252]	0.0624 	0.0448 	0.0410 	0.0335 	0.0380 	0.0303 	0.0314 	0.0261 	0.0271 	0.0261 	
[0.008947028737313524, 0.6, 0.5924203088553587, 0.2]	0.2125 	0.1337 	0.0999 	0.0815 	0.0706 	0.0619 	0.0558 	0.0532 	0.0484 	0.0451 	
[0.1, 0.7072375979249642, 0.5229382059085169, 0.39325759479168065]	0.0597 	0.0434 	0.0386 	0.0324 	0.0314 	0.0274 	0.0313 	0.0263 	0.0282 	0.0257 	
[0.03914279818334824, 0.9, 0.2, 0.625880496429906]	0.0584 	0.0470 	0.0436 	0.0340 	0.0327 	0.0325 	0.0299 	0.0283 	0.0309 	0.0288 	
[0.1, 0.6, 0.4557865916427042, 0.6004848681382403]	0.0706 	0.0566 	0.0451 	0.0386 	0.0342 	0.0308 	0.0354 	0.0305 	0.0292 	0.0306 	
[0.09797444309513266, 0.6474599685234104, 0.5583045934213583, 0.677063922961945]	0.0760 	0.0535 	0.0434 	0.0426 	0.0394 	0.0350 	0.0361 	0.0367 	0.0341 	0.0334 	
[0.01643023332999529, 0.7900731312085355, 0.6829255474237063, 0.5401701508501641]	0.1264 	0.0834 	0.0661 	0.0538 	0.0501 	0.0443 	0.0441 	0.0385 	0.0382 	0.0364 	
[0.07922103637409691, 0.9, 0.654222063375358, 0.47360307200118845]	0.0655 	0.0400 	0.0479 	0.0436 	0.0385 	0.0388 	0.0355 	0.0357 	0.0327 	0.0362 	
[0.0515822929594819, 0.7530284778579265, 0.6890008108562362, 0.6582605981846605]	0.0919 	0.0636 	0.0522 	0.0461 	0.0453 	0.0375 	0.0363 	0.0367 	0.0357 	0.0327 	
[0.09191810006785782, 0.9, 0.2, 0.6784631555205066]	0.0581 	0.0501 	0.0429 	0.0451 	0.0379 	0.0391 	0.0441 	0.0421 	0.0415 	0.0387 	
[0.05365581486516347, 0.6391525935745765, 0.3979469420806447, 0.2]	0.0694 	0.0516 	0.0394 	0.0311 	0.0305 	0.0293 	0.0273 	0.0300 	0.0264 	0.0270 	
[0.09667760887471466, 0.6, 0.30420684604220577, 0.44509637608811886]	0.0625 	0.0451 	0.0352 	0.0326 	0.0311 	0.0304 	0.0289 	0.0288 	0.0282 	0.0269 	
[0.1, 0.8878041229816884, 0.619243776946015, 0.5387054013099689]	0.0826 	0.0627 	0.0538 	0.0483 	0.0429 	0.0390 	0.0430 	0.0443 	0.0430 	0.0336 	
[0.07006005970559018, 0.7067514197146232, 0.28744499366841136, 0.3429131948555739]	0.0633 	0.0432 	0.0336 	0.0377 	0.0316 	0.0293 	0.0283 	0.0278 	0.0269 	0.0263 	
[0.1, 0.6, 0.5148272059121092, 0.2]	0.0552 	0.0367 	0.0298 	0.0287 	0.0263 	0.0268 	0.0263 	0.0263 	0.0265 	0.0241 	
[0.012742299093796197, 0.6, 0.5674573924150783, 0.7]	0.2200 	0.1357 	0.1042 	0.0892 	0.0754 	0.0696 	0.0629 	0.0573 	0.0561 	0.0530 	
[0.02027746557149316, 0.6539344266071997, 0.5653681380443597, 0.36355606301669546]	0.1387 	0.0793 	0.0639 	0.0535 	0.0459 	0.0420 	0.0390 	0.0371 	0.0366 	0.0349 	
[0.001, 0.8692927482905706, 0.6999183599655302, 0.25736489647962324]	0.4009 	0.2936 	0.2346 	0.1929 	0.1665 	0.1461 	0.1304 	0.1188 	0.1089 	0.1011 	
[0.02084800308241686, 0.8385119242507614, 0.5379878595539177, 0.559809191881744]	0.0889 	0.0572 	0.0442 	0.0402 	0.0394 	0.0344 	0.0338 	0.0324 	0.0308 	0.0293 	
[0.1, 0.9, 0.2, 0.2]	0.0550 	0.0454 	0.0419 	0.0415 	0.0360 	0.0426 	0.0377 	0.0345 	0.0340 	0.0447 	
[0.001, 0.6316607776581505, 0.2, 0.44025198754236217]	0.5558 	0.3633 	0.3080 	0.2720 	0.2484 	0.2301 	0.2160 	0.2038 	0.1940 	0.1847 	
[0.001, 0.8812205329327145, 0.4366849916111482, 0.23719525119885668]	0.3094 	0.2348 	0.1947 	0.1713 	0.1506 	0.1335 	0.1198 	0.1091 	0.1005 	0.0934 	
[0.001, 0.6, 0.6386663234654938, 0.37272537572938347]	0.7385 	0.4604 	0.3802 	0.3391 	0.3093 	0.2864 	0.2672 	0.2498 	0.2355 	0.2208 	
[0.1, 0.6105462909533266, 0.2, 0.2]	0.0642 	0.0508 	0.0364 	0.0341 	0.0332 	0.0320 	0.0308 	0.0280 	0.0312 	0.0330 	
[0.00903542783151228, 0.8303622548101879, 0.6061545415570115, 0.2]	0.1283 	0.0802 	0.0605 	0.0512 	0.0479 	0.0412 	0.0365 	0.0348 	0.0339 	0.0336 	
[0.0231851781832481, 0.7980424830398029, 0.6838027726763761, 0.2]	0.0797 	0.0551 	0.0446 	0.0392 	0.0354 	0.0340 	0.0319 	0.0281 	0.0265 	0.0257 	
[0.025307489395396145, 0.6161108060424942, 0.5204372836929627, 0.6021532244424239]	0.1268 	0.0833 	0.0637 	0.0548 	0.0511 	0.0469 	0.0442 	0.0410 	0.0391 	0.0381 	
[0.011253957186277194, 0.6, 0.7, 0.45934973932662293]	0.2189 	0.1325 	0.1008 	0.0852 	0.0755 	0.0657 	0.0599 	0.0546 	0.0520 	0.0483 	
[0.1, 0.6, 0.2339228411225838, 0.6801197921096912]	0.0695 	0.0487 	0.0414 	0.0377 	0.0374 	0.0345 	0.0349 	0.0356 	0.0313 	0.0326 	
[0.001, 0.6, 0.6312486511872533, 0.6885413039831262]	1.2097 	0.7051 	0.5281 	0.4319 	0.3631 	0.3247 	0.2916 	0.2657 	0.2437 	0.2276 	
[0.04722278797265153, 0.7420764642690412, 0.4273161510749943, 0.24023354440900452]	0.0610 	0.0439 	0.0321 	0.0306 	0.0307 	0.0297 	0.0286 	0.0279 	0.0277 	0.0279 	
[0.001, 0.6, 0.6298818712473833, 0.46960250261721215]	1.0552 	0.5640 	0.4425 	0.3867 	0.3473 	0.3184 	0.2939 	0.2688 	0.2518 	0.2358 	
[0.0888100266448089, 0.6202220239179277, 0.636293203434609, 0.3923814291960572]	0.0723 	0.0518 	0.0467 	0.0414 	0.0330 	0.0349 	0.0301 	0.0293 	0.0286 	0.0312 	
[0.08616334236229209, 0.6897025280346257, 0.23596907860645103, 0.7]	0.0769 	0.0588 	0.0492 	0.0400 	0.0354 	0.0332 	0.0353 	0.0331 	0.0346 	0.0307 	
[0.05968500961474923, 0.9, 0.6179274799614228, 0.3266888390373853]	0.0571 	0.0407 	0.0352 	0.0334 	0.0279 	0.0293 	0.0268 	0.0291 	0.0270 	0.0263 	
[0.06622366382947026, 0.9, 0.3190820041559385, 0.260552018287805]	0.0437 	0.0386 	0.0320 	0.0262 	0.0274 	0.0284 	0.0310 	0.0296 	0.0305 	0.0288 	
