[0.09680930370301086, 0.7848419210957047, 0.2505755169670106, 0.4968534867184637]	0.9778	0.9849	0.9866	0.9886	0.9894	0.9888	0.9894	0.9896	0.9899	0.9896	
[0.095126931510711, 0.8398623919536459, 0.4756005720617612, 0.6382378448493586]	0.9780	0.9832	0.9852	0.9874	0.9886	0.9874	0.9883	0.9892	0.9895	0.9878	
[0.07588876919637065, 0.698445915306954, 0.3691838116117139, 0.6384619895112442]	0.9754	0.9831	0.9864	0.9848	0.9866	0.9867	0.9871	0.9887	0.9887	0.9909	
[0.058465327068772326, 0.8683864839895079, 0.22438128703623622, 0.29997343769702045]	0.9830	0.9866	0.9893	0.9895	0.9906	0.9912	0.9918	0.9914	0.9908	0.9911	
[0.015933082832357736, 0.8061887144401839, 0.26873622876984765, 0.4788649279442911]	0.9685	0.9754	0.9802	0.9836	0.9866	0.9863	0.9882	0.9872	0.9896	0.9894	
[0.015632157383429515, 0.813420887239555, 0.5525765785821609, 0.5193917359209859]	0.9657	0.9774	0.9820	0.9840	0.9864	0.9857	0.9868	0.9880	0.9889	0.9877	
[0.08188906155552898, 0.6315008856343646, 0.3007652681728737, 0.22323116968181478]	0.9802	0.9868	0.9892	0.9903	0.9902	0.9909	0.9910	0.9911	0.9897	0.9913	
[0.08697840476995618, 0.6102145093049155, 0.270989484414286, 0.27610421014330444]	0.9793	0.9827	0.9884	0.9889	0.9897	0.9908	0.9904	0.9910	0.9911	0.9901	
[0.024659222485354914, 0.7973856326731027, 0.3665670328388254, 0.5381975011306844]	0.9704	0.9786	0.9846	0.9857	0.9883	0.9891	0.9889	0.9903	0.9907	0.9902	
[0.054306828145011365, 0.8610439830800285, 0.5626355414554269, 0.6579420428259919]	0.9753	0.9841	0.9849	0.9854	0.9856	0.9875	0.9889	0.9888	0.9888	0.9894	
[0.05386469745810197, 0.7788588018567937, 0.6921527750258926, 0.588470904028813]	0.9748	0.9823	0.9849	0.9851	0.9873	0.9881	0.9888	0.9871	0.9894	0.9883	
[0.09109556052804794, 0.851177674915121, 0.5573096207202193, 0.4454556856363395]	0.9830	0.9832	0.9864	0.9859	0.9889	0.9892	0.9897	0.9914	0.9907	0.9895	
[0.1, 0.9, 0.4902050650034826, 0.29657110875407905]	0.9839	0.9827	0.9889	0.9869	0.9896	0.9904	0.9888	0.9903	0.9898	0.9905	
[0.029442573186842843, 0.715252290002005, 0.6503916008561043, 0.2848511513607844]	0.9719	0.9802	0.9841	0.9858	0.9877	0.9882	0.9883	0.9898	0.9900	0.9899	
[0.08116128159113169, 0.7943636128574256, 0.5206644487728863, 0.2934831536382267]	0.9824	0.9859	0.9887	0.9895	0.9904	0.9904	0.9903	0.9917	0.9919	0.9921	
[0.09443409803476523, 0.8797022101960935, 0.5067719830977653, 0.6449185173217662]	0.9780	0.9795	0.9846	0.9854	0.9851	0.9872	0.9891	0.9887	0.9875	0.9876	
[0.09966577133485245, 0.7180484189839956, 0.5720210770218915, 0.4285340828262063]	0.9814	0.9863	0.9861	0.9879	0.9895	0.9897	0.9906	0.9904	0.9914	0.9915	
[0.01732204604551281, 0.7041378128751572, 0.6340618542750288, 0.524563770301651]	0.9569	0.9695	0.9759	0.9809	0.9830	0.9844	0.9852	0.9862	0.9868	0.9884	
[0.0966817090444285, 0.7680838105347043, 0.6018487886911311, 0.595450087575827]	0.9788	0.9829	0.9855	0.9872	0.9883	0.9872	0.9889	0.9890	0.9894	0.9901	
[0.017231730976053017, 0.621299084731294, 0.44656103961230165, 0.2326903176748994]	0.9575	0.9737	0.9788	0.9829	0.9846	0.9859	0.9869	0.9872	0.9899	0.9888	
[0.04720899361905013, 0.7141122979273565, 0.3950550310240831, 0.45288017353439575]	0.9780	0.9846	0.9840	0.9876	0.9885	0.9905	0.9910	0.9899	0.9908	0.9921	
[0.0562857553564294, 0.8760916346099406, 0.5003325110591879, 0.23866222234886142]	0.9836	0.9856	0.9899	0.9893	0.9914	0.9901	0.9910	0.9918	0.9911	0.9916	
[0.036970708076721266, 0.7102166972796471, 0.43383251233393727, 0.24089965977667682]	0.9724	0.9817	0.9854	0.9874	0.9891	0.9901	0.9901	0.9906	0.9908	0.9910	
[0.03529439913784227, 0.8269382258974155, 0.3342116148609676, 0.6706429112711809]	0.9718	0.9833	0.9848	0.9859	0.9881	0.9881	0.9879	0.9889	0.9897	0.9912	
[0.02807016908438555, 0.643622446545944, 0.538374139891485, 0.6762186197694958]	0.9626	0.9741	0.9783	0.9813	0.9835	0.9844	0.9853	0.9858	0.9861	0.9875	
[0.042645414493533824, 0.8268863784470317, 0.5010602640337328, 0.3354555839257478]	0.9820	0.9877	0.9893	0.9892	0.9898	0.9915	0.9913	0.9912	0.9916	0.9898	
[0.07856877022853515, 0.6464797889405132, 0.3760102917505388, 0.369203487560829]	0.9809	0.9852	0.9870	0.9880	0.9890	0.9908	0.9883	0.9893	0.9912	0.9889	
[0.09780136606191857, 0.7902847665165752, 0.5519702237933337, 0.21174384737590196]	0.9840	0.9878	0.9895	0.9902	0.9897	0.9906	0.9920	0.9915	0.9906	0.9920	
[0.0781288302682139, 0.7553262501958384, 0.5820389888222806, 0.4312317708918798]	0.9822	0.9849	0.9868	0.9893	0.9880	0.9890	0.9903	0.9886	0.9917	0.9924	
[0.023544848362111303, 0.6858243230064626, 0.31348044183870755, 0.6989812618411155]	0.9615	0.9743	0.9798	0.9817	0.9839	0.9829	0.9858	0.9859	0.9875	0.9883	
[0.08524964924225718, 0.6002199340058474, 0.26142851829235075, 0.3788795468491506]	0.9801	0.9846	0.9871	0.9888	0.9896	0.9901	0.9909	0.9901	0.9903	0.9912	
[0.06564965689036284, 0.7937825560243205, 0.5554328827917996, 0.49844012844442126]	0.9799	0.9840	0.9884	0.9874	0.9892	0.9893	0.9903	0.9888	0.9894	0.9912	
[0.005994625788407753, 0.7183978216272382, 0.36649883203175504, 0.5918266124380799]	0.9264	0.9463	0.9609	0.9680	0.9724	0.9757	0.9780	0.9802	0.9809	0.9826	
[0.02261691322521599, 0.8889503741374072, 0.38671075815641154, 0.6202257543002344]	0.9756	0.9830	0.9843	0.9857	0.9866	0.9877	0.9898	0.9884	0.9897	0.9896	
[0.026767527409507084, 0.6950951288575765, 0.3892909703786833, 0.6018993192028508]	0.9641	0.9786	0.9815	0.9840	0.9847	0.9859	0.9873	0.9875	0.9882	0.9887	
[0.1, 0.9, 0.28253044690477963, 0.3720704962973886]	0.9824	0.9842	0.9843	0.9878	0.9878	0.9888	0.9905	0.9900	0.9904	0.9889	
