[0.09680930370301086, 0.7848419210957047, 0.2505755169670106, 0.4968534867184637]	0.0723 	0.0506 	0.0400 	0.0351 	0.0313 	0.0355 	0.0324 	0.0326 	0.0319 	0.0317 	
[0.095126931510711, 0.8398623919536459, 0.4756005720617612, 0.6382378448493586]	0.0674 	0.0531 	0.0460 	0.0397 	0.0359 	0.0387 	0.0377 	0.0335 	0.0321 	0.0386 	
[0.07588876919637065, 0.698445915306954, 0.3691838116117139, 0.6384619895112442]	0.0793 	0.0540 	0.0395 	0.0456 	0.0378 	0.0388 	0.0382 	0.0309 	0.0316 	0.0267 	
[0.058465327068772326, 0.8683864839895079, 0.22438128703623622, 0.29997343769702045]	0.0516 	0.0386 	0.0324 	0.0300 	0.0317 	0.0280 	0.0269 	0.0283 	0.0280 	0.0279 	
[0.015933082832357736, 0.8061887144401839, 0.26873622876984765, 0.4788649279442911]	0.1074 	0.0754 	0.0571 	0.0486 	0.0412 	0.0369 	0.0360 	0.0374 	0.0329 	0.0316 	
[0.015632157383429515, 0.813420887239555, 0.5525765785821609, 0.5193917359209859]	0.1138 	0.0721 	0.0583 	0.0471 	0.0430 	0.0404 	0.0381 	0.0349 	0.0336 	0.0322 	
[0.08188906155552898, 0.6315008856343646, 0.3007652681728737, 0.22323116968181478]	0.0619 	0.0430 	0.0351 	0.0311 	0.0288 	0.0282 	0.0288 	0.0278 	0.0314 	0.0266 	
[0.08697840476995618, 0.6102145093049155, 0.270989484414286, 0.27610421014330444]	0.0612 	0.0545 	0.0343 	0.0353 	0.0320 	0.0268 	0.0283 	0.0287 	0.0280 	0.0280 	
[0.024659222485354914, 0.7973856326731027, 0.3665670328388254, 0.5381975011306844]	0.0902 	0.0665 	0.0465 	0.0411 	0.0358 	0.0337 	0.0316 	0.0317 	0.0292 	0.0292 	
[0.054306828145011365, 0.8610439830800285, 0.5626355414554269, 0.6579420428259919]	0.0759 	0.0523 	0.0483 	0.0429 	0.0439 	0.0381 	0.0343 	0.0334 	0.0319 	0.0331 	
[0.05386469745810197, 0.7788588018567937, 0.6921527750258926, 0.588470904028813]	0.0810 	0.0555 	0.0494 	0.0452 	0.0380 	0.0348 	0.0347 	0.0383 	0.0301 	0.0337 	
[0.09109556052804794, 0.851177674915121, 0.5573096207202193, 0.4454556856363395]	0.0549 	0.0510 	0.0393 	0.0465 	0.0360 	0.0328 	0.0306 	0.0271 	0.0291 	0.0312 	
[0.1, 0.9, 0.4902050650034826, 0.29657110875407905]	0.0545 	0.0575 	0.0373 	0.0421 	0.0390 	0.0313 	0.0343 	0.0324 	0.0318 	0.0314 	
[0.029442573186842843, 0.715252290002005, 0.6503916008561043, 0.2848511513607844]	0.0918 	0.0611 	0.0474 	0.0405 	0.0367 	0.0341 	0.0322 	0.0284 	0.0291 	0.0287 	
[0.08116128159113169, 0.7943636128574256, 0.5206644487728863, 0.2934831536382267]	0.0576 	0.0411 	0.0348 	0.0311 	0.0304 	0.0300 	0.0297 	0.0265 	0.0258 	0.0268 	
[0.09443409803476523, 0.8797022101960935, 0.5067719830977653, 0.6449185173217662]	0.0721 	0.0650 	0.0460 	0.0466 	0.0465 	0.0391 	0.0330 	0.0333 	0.0368 	0.0411 	
[0.09966577133485245, 0.7180484189839956, 0.5720210770218915, 0.4285340828262063]	0.0559 	0.0417 	0.0428 	0.0364 	0.0315 	0.0296 	0.0303 	0.0301 	0.0281 	0.0277 	
[0.01732204604551281, 0.7041378128751572, 0.6340618542750288, 0.524563770301651]	0.1527 	0.0931 	0.0723 	0.0587 	0.0538 	0.0468 	0.0432 	0.0416 	0.0405 	0.0376 	
[0.0966817090444285, 0.7680838105347043, 0.6018487886911311, 0.595450087575827]	0.0710 	0.0503 	0.0428 	0.0386 	0.0344 	0.0386 	0.0337 	0.0338 	0.0319 	0.0297 	
[0.017231730976053017, 0.621299084731294, 0.44656103961230165, 0.2326903176748994]	0.1386 	0.0819 	0.0643 	0.0542 	0.0460 	0.0412 	0.0379 	0.0352 	0.0319 	0.0308 	
[0.04720899361905013, 0.7141122979273565, 0.3950550310240831, 0.45288017353439575]	0.0710 	0.0470 	0.0472 	0.0354 	0.0334 	0.0284 	0.0278 	0.0283 	0.0270 	0.0254 	
[0.0562857553564294, 0.8760916346099406, 0.5003325110591879, 0.23866222234886142]	0.0523 	0.0423 	0.0313 	0.0325 	0.0284 	0.0285 	0.0285 	0.0276 	0.0278 	0.0280 	
[0.036970708076721266, 0.7102166972796471, 0.43383251233393727, 0.24089965977667682]	0.0854 	0.0580 	0.0446 	0.0368 	0.0321 	0.0290 	0.0297 	0.0288 	0.0253 	0.0270 	
[0.03529439913784227, 0.8269382258974155, 0.3342116148609676, 0.6706429112711809]	0.0879 	0.0526 	0.0457 	0.0408 	0.0365 	0.0367 	0.0349 	0.0329 	0.0307 	0.0296 	
[0.02807016908438555, 0.643622446545944, 0.538374139891485, 0.6762186197694958]	0.1255 	0.0819 	0.0669 	0.0548 	0.0510 	0.0462 	0.0424 	0.0417 	0.0398 	0.0357 	
[0.042645414493533824, 0.8268863784470317, 0.5010602640337328, 0.3354555839257478]	0.0558 	0.0414 	0.0332 	0.0320 	0.0306 	0.0281 	0.0287 	0.0285 	0.0268 	0.0290 	
[0.07856877022853515, 0.6464797889405132, 0.3760102917505388, 0.369203487560829]	0.0620 	0.0450 	0.0372 	0.0344 	0.0305 	0.0288 	0.0336 	0.0338 	0.0269 	0.0349 	
[0.09780136606191857, 0.7902847665165752, 0.5519702237933337, 0.21174384737590196]	0.0477 	0.0390 	0.0317 	0.0293 	0.0296 	0.0276 	0.0273 	0.0266 	0.0288 	0.0240 	
[0.0781288302682139, 0.7553262501958384, 0.5820389888222806, 0.4312317708918798]	0.0599 	0.0449 	0.0388 	0.0339 	0.0335 	0.0297 	0.0297 	0.0353 	0.0273 	0.0253 	
[0.023544848362111303, 0.6858243230064626, 0.31348044183870755, 0.6989812618411155]	0.1238 	0.0813 	0.0632 	0.0555 	0.0512 	0.0484 	0.0453 	0.0401 	0.0368 	0.0354 	
[0.08524964924225718, 0.6002199340058474, 0.26142851829235075, 0.3788795468491506]	0.0591 	0.0452 	0.0388 	0.0338 	0.0318 	0.0297 	0.0287 	0.0311 	0.0307 	0.0262 	
